"UE-1";"0.001";"15.438324932937007 0.0 0.0"
"UE-2";"0.001";"-7.602312590649668 0.0 0.0"
"UE-3";"0.001";"5.553501259187863 0.0 0.0"
"UE-4";"0.001";"-19.704157775852163 0.0 0.0"
"UE-5";"0.001";"-2.6728425039998567 0.0 0.0"
"UE-6";"0.001";"13.97336907934271 0.0 0.0"
"UE-7";"0.001";"-28.945881651523425 0.0 0.0"
"UE-8";"0.001";"7.901058720582154 0.0 0.0"
"UE-9";"0.001";"17.46314350625664 0.0 0.0"
"UE-10";"0.001";"13.676839790280473 0.0 0.0"
"UE-11";"0.001";"5.9067531579144745 0.0 0.0"
"UE-12";"0.001";"-5.753241952028144 0.0 0.0"
"UE-13";"0.001";"-4.35305838816218 0.0 0.0"
"UE-14";"0.001";"14.88612970189945 0.0 0.0"
"UE-15";"0.001";"-26.757173398713533 0.0 0.0"
"UE-1";"0.002";"5.099343503499693 0.0 0.0"
"UE-2";"0.002";"5.6989539906742905 0.0 0.0"
"UE-3";"0.002";"2.315366394105418 0.0 0.0"
"UE-4";"0.002";"5.8155461032996145 0.0 0.0"
"UE-5";"0.002";"8.943934424557863 0.0 0.0"
"UE-6";"0.002";"0.5713939315141023 0.0 0.0"
"UE-7";"0.002";"-10.831600843924594 0.0 0.0"
"UE-8";"0.002";"6.320770760339169 0.0 0.0"
"UE-9";"0.002";"5.444065775150015 0.0 0.0"
"UE-10";"0.002";"16.687016740516444 0.0 0.0"
"UE-11";"0.002";"11.481518636196007 0.0 0.0"
"UE-12";"0.002";"-1.6729718628896633 0.0 0.0"
"UE-13";"0.002";"-26.683353203098868 0.0 0.0"
"UE-14";"0.002";"12.276747058531605 0.0 0.0"
"UE-15";"0.002";"-6.913123266684158 0.0 0.0"
"UE-1";"0.003";"12.573581433837191 0.0 0.0"
"UE-2";"0.003";"7.511214800267668 0.0 0.0"
"UE-3";"0.003";"5.087236998133634 0.0 0.0"
"UE-4";"0.003";"-8.419986354438988 0.0 0.0"
"UE-5";"0.003";"7.534722990753632 0.0 0.0"
"UE-6";"0.003";"16.967117334820287 0.0 0.0"
